@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
133,'2023/04/30 03:02:15:235',1,62,114,163,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
134,'2023/04/30 03:02:15:254',1,61,115,163,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
135,'2023/04/30 03:02:15:269',1,64,114,163,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
136,'2023/04/30 03:02:15:286',1,66,114,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
137,'2023/04/30 03:02:15:313',1,66,116,162,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
138,'2023/04/30 03:02:15:320',1,63,115,162,128,45,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
139,'2023/04/30 03:02:15:335',1,64,115,162,129,45,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
140,'2023/04/30 03:02:15:352',1,63,115,162,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
141,'2023/04/30 03:02:15:369',1,64,112,163,129,46,1,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
142,'2023/04/30 03:02:15:385',1,61,113,163,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
143,'2023/04/30 03:02:15:402',1,60,112,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
